N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,8,4,vit,conv0/Convolution,7225536,192,59190018048,924844032,924844032,462422016,59190018048,77070336,1001914368,462422016,1024,131072,131072,262144,64
32,32,8,4,vit,fc1/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc2/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc3/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc4/MatMul,9472,256,150994944,2359296,10223616,9437184,150994944,196608,2555904,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc5/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc6/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc7/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc8/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc9/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc10/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc11/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc12/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc13/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc14/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc15/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc16/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc17/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc18/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc19/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc20/MatMul,9472,256,150994944,2359296,10223616,9437184,150994944,196608,2555904,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc21/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc22/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc23/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc24/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc25/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc26/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
