N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,16,10,vit,conv0/Convolution,7225600,256,118380036096,9437184,924844032,462422016,118380036096,3699376128,3708813312,462422016,1024,131072,131072,262144,64
32,32,16,10,vit,fc1/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc2/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc3/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc4/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc5/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc6/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc7/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc8/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc9/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc10/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc11/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc12/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc13/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc14/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc15/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc16/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc17/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc18/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc19/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc20/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc21/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc22/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc23/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc24/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc25/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc26/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc27/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc28/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc29/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc30/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc31/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc32/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc33/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc34/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc35/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc36/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc37/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc38/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc39/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc40/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc41/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc42/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc43/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc44/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc45/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc46/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc47/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc48/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc49/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc50/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc51/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc52/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc53/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc54/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc55/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc56/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc57/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc58/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc59/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc60/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc61/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc62/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc63/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc64/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc65/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc66/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc67/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc68/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc69/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc70/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc71/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc72/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc73/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc74/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc75/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc76/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc77/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc78/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc79/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc80/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc81/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc82/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc83/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc84/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc85/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc86/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc87/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc88/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc89/MatMul,110640,48,905969664,56623104,228851712,226492416,905969664,28311552,84934656,2359296,1024,131072,131072,262144,64
32,32,16,10,vit,fc90/MatMul,2000,464,14155776,442368,903168,884736,14155776,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,16,10,vit,fc91/MatMul,36912,48,301989888,18874368,76283904,75497472,301989888,9437184,28311552,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc92/MatMul,1712,176,4718592,147456,301056,294912,4718592,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,16,10,vit,fc93/MatMul,147504,48,1207959552,75497472,305135616,301989888,1207959552,37748736,113246208,3145728,1024,131072,131072,262144,64
32,32,16,10,vit,fc94/MatMul,2136,600,18874368,589824,1204224,1179648,18874368,1572864,2162688,24576,1024,131072,131072,262144,64
32,32,16,10,vit,fc95/MatMul,147480,24,1207959552,18874368,76283904,75497472,1207959552,37748736,56623104,786432,1024,131072,131072,262144,64
32,32,16,10,vit,fc96/MatMul,6448,304,18874368,294912,595968,589824,18874368,3145728,3440640,6144,1024,131072,131072,262144,64
32,32,16,10,vit_huge,conv0/Convolution,12042496,256,197300060160,15728640,1541406720,770703360,197300060160,6165626880,6181355520,770703360,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc1/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc2/MatMul,2607,47,39321600,614400,1259520,1228800,39321600,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc3/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc4/MatMul,2792,232,13107200,204800,419840,409600,13107200,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc5/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc6/MatMul,5168,48,83886080,1310720,2686976,2621440,83886080,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc7/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc8/MatMul,10261,21,52428800,1638400,1648640,1638400,52428800,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc9/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc10/MatMul,2607,47,39321600,614400,1259520,1228800,39321600,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc11/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc12/MatMul,2792,232,13107200,204800,419840,409600,13107200,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc13/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc14/MatMul,5168,48,83886080,1310720,2686976,2621440,83886080,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc15/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc16/MatMul,10261,21,52428800,1638400,1648640,1638400,52428800,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc17/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc18/MatMul,2607,47,39321600,614400,1259520,1228800,39321600,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc19/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc20/MatMul,2792,232,13107200,204800,419840,409600,13107200,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc21/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc22/MatMul,5168,48,83886080,1310720,2686976,2621440,83886080,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc23/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc24/MatMul,10261,21,52428800,1638400,1648640,1638400,52428800,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc25/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
