N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,8,4,vit,conv0/Convolution,7225536,192,59190018048,924844032,924844032,462422016,59190018048,77070336,1001914368,462422016,1024,131072,131072,262144,64
32,32,8,4,vit,fc1/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc2/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc3/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc4/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc5/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc6/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc7/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc8/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc9/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc10/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc11/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc12/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc13/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc14/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc15/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc16/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc17/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc18/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
32,32,8,4,vit,fc19/MatMul,36888,24,226492416,14155776,76283904,75497472,226492416,14155776,28311552,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc20/MatMul,1696,160,2359296,147456,595968,589824,2359296,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc21/MatMul,147480,24,905969664,56623104,305135616,301989888,905969664,56623104,113246208,3145728,1024,131072,131072,262144,64
32,32,8,4,vit,fc22/MatMul,2064,528,9437184,147456,49152,24576,9437184,393216,540672,24576,1024,131072,131072,262144,64
32,32,8,4,vit,fc23/MatMul,147468,12,905969664,56623104,151781376,150994944,905969664,56623104,113246208,786432,1024,131072,131072,262144,64
32,32,8,4,vit,fc24/MatMul,6304,160,9437184,147456,595968,589824,9437184,1572864,1720320,6144,1024,131072,131072,262144,64
32,32,8,4,vit,fc25/MatMul,110616,24,679477248,42467328,228851712,226492416,679477248,42467328,84934656,2359296,1024,131072,131072,262144,64
32,32,8,4,vit,fc26/MatMul,1986,450,7077888,442368,1787904,1769472,7077888,1572864,2015232,18432,1024,131072,131072,262144,64
